optionid;date;cp_flag;style;exdate;last_date;open_interest;best_bid;best_offer;volume;strike_price;Mid;Strike
130244549;13.11.2019;C;E;20.12.2019;.;0;674;680,8;0;2415000;677,4;2415
130244550;13.11.2019;C;E;20.12.2019;28.08.2019;1;669,1;675,8;0;2420000;672,45;2420
114281411;13.11.2019;C;E;20.12.2019;13.11.2019;3815;664,1;670,9;2;2425000;667,5;2425
130244551;13.11.2019;C;E;20.12.2019;28.08.2019;1;659,1;665,9;0;2430000;662,5;2430
130244552;13.11.2019;C;E;20.12.2019;.;0;654,1;660,9;0;2435000;657,5;2435
130244553;13.11.2019;C;E;20.12.2019;.;0;649,2;655,9;0;2440000;652,55;2440
130244554;13.11.2019;C;E;20.12.2019;.;0;644,2;651;0;2445000;647,6;2445
114281412;13.11.2019;C;E;20.12.2019;11.11.2019;3107;639,2;646;0;2450000;642,6;2450
130244555;13.11.2019;C;E;20.12.2019;.;0;634,2;641;0;2455000;637,6;2455
130244556;13.11.2019;C;E;20.12.2019;.;0;629,3;636,1;0;2460000;632,7;2460
130244557;13.11.2019;C;E;20.12.2019;.;0;624,3;631,1;0;2465000;627,7;2465
130244558;13.11.2019;C;E;20.12.2019;.;0;619,3;626,1;0;2470000;622,7;2470
114281413;13.11.2019;C;E;20.12.2019;11.11.2019;1624;614,3;621,1;0;2475000;617,7;2475
130244559;13.11.2019;C;E;20.12.2019;.;0;609,4;616,2;0;2480000;612,8;2480
130244560;13.11.2019;C;E;20.12.2019;.;0;604,4;611,2;0;2485000;607,8;2485
130244561;13.11.2019;C;E;20.12.2019;.;0;599,4;606,2;0;2490000;602,8;2490
130244562;13.11.2019;C;E;20.12.2019;23.10.2019;1;594,5;601,3;0;2495000;597,9;2495
114281414;13.11.2019;C;E;20.12.2019;13.11.2019;14738;589,5;596,3;2;2500000;592,9;2500
130244563;13.11.2019;C;E;20.12.2019;23.10.2019;1;584,5;591,3;0;2505000;587,9;2505
130244564;13.11.2019;C;E;20.12.2019;07.11.2019;32;579,6;586,4;0;2510000;583;2510
